RequestID;SubmitTime;Duration;DataProcessed;Submitter;Status;SessionID;DataProcessedGB
55367799;7/21/21, 11:10:10 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55367716;7/21/21, 11:10:10 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55367639;7/21/21, 11:10:10 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55367555;7/21/21, 11:10:09 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55366340;7/21/21, 11:10:08 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55364837;7/21/21, 11:10:06 PM;1 sec;98.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.098
55363949;7/21/21, 11:10:06 PM;0 sec;12.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.012
55363120;7/21/21, 11:10:06 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55362344;7/21/21, 11:10:05 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55195403;7/21/21, 10:59:33 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55194839;7/21/21, 10:59:32 PM;0 sec;26.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.026
55194680;7/21/21, 10:59:31 PM;0 sec;19.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.019
55194492;7/21/21, 10:59:30 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55194286;7/21/21, 10:59:28 PM;1 sec;33.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.033
55193720;7/21/21, 10:59:25 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55193992;7/21/21, 10:59:25 PM;2 sec;24.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.024
55193137;7/21/21, 10:59:25 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55191370;7/21/21, 10:59:22 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55191609;7/21/21, 10:59:22 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55192264;7/21/21, 10:59:22 PM;3 sec;22.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.022
55191131;7/21/21, 10:59:21 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55190863;7/21/21, 10:59:19 PM;1 sec;23.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.023
55188876;7/21/21, 10:59:14 PM;4 sec;42.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.042
55187889;7/21/21, 10:59:13 PM;1 sec;40.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.04
55187570;7/21/21, 10:59:12 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55187090;7/21/21, 10:59:07 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55187378;7/21/21, 10:59:07 PM;5 sec;44.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.044
55186803;7/21/21, 10:59:04 PM;2 sec;22.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.022
55186538;7/21/21, 10:59:02 PM;1 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55186078;7/21/21, 10:58:58 PM;3 sec;68.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.068
55185891;7/21/21, 10:58:56 PM;1 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55185623;7/21/21, 10:58:54 PM;2 sec;86.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.086
